scope,cell_id,group_id,environment_class,elevation_band,rms_delay_dispersion_samples,track_balanced_group_weight
environment_only,Mountain/Valley,F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1::409,Mountain/Valley,MID,0.7827428537903249,2.0
environment_only,Mountain/Valley,F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1::556,Mountain/Valley,MID,0.7388963752692941,0.5
environment_only,Mountain/Valley,F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1::557,Mountain/Valley,MID,0.5925489404046625,0.5
environment_only,Mountain/Valley,F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1::558,Mountain/Valley,MID,0.907208192871196,0.5
environment_only,Mountain/Valley,F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1::559,Mountain/Valley,MID,0.8601173398828525,0.5
environment_only,Mountain/Valley,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1::252,Mountain/Valley,MID,0.1589367791139267,0.5
environment_only,Mountain/Valley,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1::253,Mountain/Valley,MID,0.23113858587640065,0.5
environment_only,Mountain/Valley,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1::307,Mountain/Valley,MID,0.6830978129181722,1.0
environment_only,Mountain/Valley,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1::308,Mountain/Valley,MID,0.7515264048830039,1.0
environment_only,Mountain/Valley,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1::309,Mountain/Valley,MID,0.764766808049442,1.0
environment_only,Mountain/Valley,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1::347,Mountain/Valley,MID,0.953589713975906,1.0
environment_only,Mountain/Valley,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1::348,Mountain/Valley,MID,0.8608907114003989,1.0
environment_only,Mountain/Valley,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1::349,Mountain/Valley,MID,1.0210874510167156,1.0
environment_only,Mountain/Valley,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1::464,Mountain/Valley,MID,0.9504664575433294,0.6666666666666666
environment_only,Mountain/Valley,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1::465,Mountain/Valley,MID,0.7461533827381734,0.6666666666666666
environment_only,Mountain/Valley,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1::466,Mountain/Valley,MID,0.5410490274472441,0.6666666666666666
environment_only,Mountain/Valley,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1::876,Mountain/Valley,MID,0.7170641548840403,2.0
environment_only,Mountain/Valley,F1023_V70_D0117_P4__G31__ch1__nav_sage_v2__ingestion_20260825_event_path_v1::436,Mountain/Valley,,0.7606687801683392,1.0
environment_only,Mountain/Valley,F1023_V70_D0117_P4__G32__ch3__nav_sage_v2__ingestion_20260825_event_path_v1::57,Mountain/Valley,LOW,0.9302492522853053,1.0
environment_only,Mountain/Valley,F1023_V70_D0117_P4__G32__ch3__nav_sage_v2__ingestion_20260825_event_path_v1::58,Mountain/Valley,LOW,0.4118171586062752,1.0
environment_only,Mountain/Valley,F1023_V70_D0117_P4__G32__ch3__nav_sage_v2__ingestion_20260825_event_path_v1::275,Mountain/Valley,LOW,0.8208346857295381,2.0
environment_only,Mountain/Valley,F1023_V70_D0117_P4__G32__ch3__nav_sage_v2__ingestion_20260825_event_path_v1::357,Mountain/Valley,LOW,0.22005549373879746,1.0
environment_only,Urban,F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1::76,Urban,HIGH,0.9552826544562408,1.0
environment_only,Urban,F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1::77,Urban,HIGH,0.6175629290614565,1.0
environment_only,Urban,F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1::78,Urban,HIGH,0.9305525435941691,1.0
environment_only,Urban,F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1::597,Urban,HIGH,0.8816239110600942,0.6666666666666666
environment_only,Urban,F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1::598,Urban,HIGH,0.5361899212871872,0.6666666666666666
environment_only,Urban,F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1::599,Urban,HIGH,0.6341475907046571,0.6666666666666666
environment_only,Urban,F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1::607,Urban,HIGH,0.9344915645149809,2.0
environment_only,Urban,F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1::948,Urban,HIGH,0.8920415094396728,0.5
environment_only,Urban,F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1::949,Urban,HIGH,0.4956553245526093,0.5
environment_only,Urban,F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1::2562,Urban,HIGH,0.8334300809524334,1.0
environment_only,Urban,F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1::2563,Urban,HIGH,0.6610232685417421,1.0
environment_only,Urban,F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1::2581,Urban,HIGH,0.7878264139889224,1.0
environment_only,Urban,F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1::2582,Urban,HIGH,1.0191367474611996,1.0
environment_only,Urban,F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1::2583,Urban,HIGH,0.6858359224846367,1.0
environment_only,Urban,F1023_V70_D0120_P1__G27__ch8__nav_sage_v2__ingestion_20260825_event_path_v1::429,Urban,LOW,0.5499646999652263,0.3333333333333333
environment_only,Urban,F1023_V70_D0120_P1__G27__ch8__nav_sage_v2__ingestion_20260825_event_path_v1::430,Urban,LOW,0.9990623711093594,0.3333333333333333
environment_only,Urban,F1023_V70_D0120_P1__G27__ch8__nav_sage_v2__ingestion_20260825_event_path_v1::431,Urban,LOW,0.687113272333513,0.3333333333333333
environment_only,Urban,F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1::1216,Urban,MID,0.476500348578913,0.3333333333333333
environment_only,Urban,F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1::1217,Urban,MID,0.6050001212892127,0.3333333333333333
environment_only,Urban,F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1::1218,Urban,MID,0.5905672979208179,0.3333333333333333
environment_only,Urban,F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1::1646,Urban,MID,0.5896217621040072,1.0
environment_only,Urban,F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1::2098,Urban,MID,0.714854275579917,0.5
environment_only,Urban,F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1::2100,Urban,MID,0.7523297571453618,0.5
environment_only,Urban,F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1::2593,Urban,MID,0.44467857332591376,0.5
environment_only,Urban,F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1::2594,Urban,MID,0.5005477888082961,0.5
environment_only,Urban,F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1::157,Urban,MID,0.9547384529863413,0.5
environment_only,Urban,F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1::159,Urban,MID,0.8497406858528019,0.5
environment_only,Urban,F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1::469,Urban,MID,0.5851765252927003,0.3333333333333333
environment_only,Urban,F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1::471,Urban,MID,0.5210539457705117,0.3333333333333333
environment_only,Urban,F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1::472,Urban,MID,0.8012749547538722,0.3333333333333333
environment_only,Urban,F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1::540,Urban,MID,0.5565862872705124,2.0
environment_only,Urban,F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1::594,Urban,MID,0.7242545705797228,0.3333333333333333
environment_only,Urban,F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1::595,Urban,MID,0.5887935490721949,0.3333333333333333
environment_only,Urban,F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1::596,Urban,MID,0.7073945527835689,0.3333333333333333
environment_only,Urban,F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1::610,Urban,MID,0.12908512201985753,0.5
environment_only,Urban,F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1::611,Urban,MID,0.15732036101395958,0.5
environment_only,Urban,F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1::783,Urban,MID,0.7478034799071187,0.5833333333333333
environment_only,Urban,F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1::784,Urban,MID,0.7322407151205637,0.5833333333333333
environment_only,Urban,F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1::785,Urban,MID,0.7298022337491762,0.5833333333333333
environment_only,Urban,F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1::787,Urban,MID,0.4317927699634509,0.25
environment_only,Urban,F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1::1081,Urban,MID,0.42256957338275986,1.0
environment_only,Urban,F1023_V70_D0120_P5__G18__ch2__nav_sage_v2__ingestion_20260825_event_path_v1::874,Urban,HIGH,0.30232069289735714,1.0
environment_only,Urban,F1023_V70_D0120_P5__G18__ch2__nav_sage_v2__ingestion_20260825_event_path_v1::1086,Urban,HIGH,0.8289006599673417,1.0
environment_only,Urban,F1023_V70_D0120_P5__G18__ch2__nav_sage_v2__ingestion_20260825_event_path_v1::1087,Urban,HIGH,0.8873865181499663,1.0
environment_only,Urban,F1023_V70_D0120_P5__G18__ch2__nav_sage_v2__ingestion_20260825_event_path_v1::1088,Urban,HIGH,0.7976160458292889,1.0
environment_only,Urban,F1023_V70_D0120_P5__G23__ch0__nav_sage_v2__ingestion_20260825_event_path_v1::16,Urban,LOW,0.5853792261525625,0.3333333333333333
environment_only,Urban,F1023_V70_D0120_P5__G23__ch0__nav_sage_v2__ingestion_20260825_event_path_v1::17,Urban,LOW,0.648145085461711,0.3333333333333333
environment_only,Urban,F1023_V70_D0120_P5__G23__ch0__nav_sage_v2__ingestion_20260825_event_path_v1::18,Urban,LOW,0.8174572703689117,0.3333333333333333
environment_only,Urban,F1023_V70_D0120_P5__G23__ch0__nav_sage_v2__ingestion_20260825_event_path_v1::65,Urban,LOW,0.7822921191448016,0.3333333333333333
environment_only,Urban,F1023_V70_D0120_P5__G23__ch0__nav_sage_v2__ingestion_20260825_event_path_v1::66,Urban,LOW,0.6323540402026864,0.3333333333333333
environment_only,Urban,F1023_V70_D0120_P5__G23__ch0__nav_sage_v2__ingestion_20260825_event_path_v1::67,Urban,LOW,0.5636697866368603,0.3333333333333333
environment_only,Urban,F1023_V70_D0120_P5__G23__ch0__nav_sage_v2__ingestion_20260825_event_path_v1::84,Urban,LOW,0.7676392428388362,1.0
environment_only,Urban,F1023_V70_D0120_P5__G23__ch0__nav_sage_v2__ingestion_20260825_event_path_v1::87,Urban,LOW,0.43610478369102074,1.0
environment_only,Urban,F1023_V70_D0120_P5__G23__ch0__nav_sage_v2__ingestion_20260825_event_path_v1::177,Urban,LOW,0.7876604448554699,0.5
environment_only,Urban,F1023_V70_D0120_P5__G23__ch0__nav_sage_v2__ingestion_20260825_event_path_v1::178,Urban,LOW,0.6310846625325394,0.5
environment_only,Urban,F1023_V70_D0120_P5__G26__ch7__nav_sage_v2__ingestion_20260825_event_path_v1::121,Urban,,0.7127196107172009,0.75
environment_only,Urban,F1023_V70_D0120_P5__G26__ch7__nav_sage_v2__ingestion_20260825_event_path_v1::122,Urban,,0.7453443551073594,0.75
environment_only,Urban,F1023_V70_D0120_P5__G26__ch7__nav_sage_v2__ingestion_20260825_event_path_v1::123,Urban,,0.843963124931371,0.75
environment_only,Urban,F1023_V70_D0120_P5__G26__ch7__nav_sage_v2__ingestion_20260825_event_path_v1::124,Urban,,1.0001537625041974,0.75
environment_only,Urban,F1023_V70_D0120_P5__G26__ch7__nav_sage_v2__ingestion_20260825_event_path_v1::136,Urban,,0.9316006898288346,1.0
environment_only,Urban,F1023_V70_D0120_P5__G26__ch7__nav_sage_v2__ingestion_20260825_event_path_v1::137,Urban,,0.9897742825594968,1.0
environment_only,Urban,F1023_V70_D0120_P5__G26__ch7__nav_sage_v2__ingestion_20260825_event_path_v1::138,Urban,,0.6737999165572346,1.0
environment_only,Urban,F1023_V70_D0120_P5__G26__ch7__nav_sage_v2__ingestion_20260825_event_path_v1::286,Urban,,0.8793487154277989,1.0
environment_only,Urban,F1023_V70_D0120_P5__G26__ch7__nav_sage_v2__ingestion_20260825_event_path_v1::287,Urban,,0.6734550642534506,1.0
environment_only,Urban,F1023_V70_D0120_P5__G26__ch7__nav_sage_v2__ingestion_20260825_event_path_v1::288,Urban,,0.7381739569784743,1.0
environment_only,Urban,F1023_V70_D0120_P5__G26__ch7__nav_sage_v2__ingestion_20260825_event_path_v1::609,Urban,HIGH,0.8627665427589056,3.0
environment_only,Urban,F1023_V70_D0120_P5__G26__ch7__nav_sage_v2__ingestion_20260825_event_path_v1::903,Urban,HIGH,0.20109802679332445,1.0
environment_only,Urban,F1023_V70_D0120_P5__G26__ch7__nav_sage_v2__ingestion_20260825_event_path_v1::906,Urban,HIGH,0.18654811831375986,1.0
environment_only,Urban,F1023_V70_D0120_P7__G18__ch4__nav_sage_v2__ingestion_20260825_event_path_v1::84,Urban,HIGH,0.23147792798567252,1.0
environment_only,Urban,F1023_V70_D0120_P7__G18__ch4__nav_sage_v2__ingestion_20260825_event_path_v1::145,Urban,HIGH,0.9816369587064174,2.0
environment_only,Urban,F1023_V70_D0120_P7__G18__ch4__nav_sage_v2__ingestion_20260825_event_path_v1::350,Urban,HIGH,0.6194606672351116,0.5
environment_only,Urban,F1023_V70_D0120_P7__G18__ch4__nav_sage_v2__ingestion_20260825_event_path_v1::352,Urban,HIGH,0.5638774789302884,1.5
environment_only,Urban,F1023_V70_D0120_P7__G18__ch4__nav_sage_v2__ingestion_20260825_event_path_v1::417,Urban,HIGH,0.29429006600674146,1.0
environment_only,Urban,F1023_V70_D0120_P7__G18__ch4__nav_sage_v2__ingestion_20260825_event_path_v1::982,Urban,HIGH,0.6959399210738383,2.0
environment_only,Urban,F1023_V70_D0120_P7__G18__ch4__nav_sage_v2__ingestion_20260825_event_path_v1::2197,Urban,HIGH,0.9299934476188305,1.0
environment_only,Urban,F1023_V70_D0120_P7__G26__ch6__nav_sage_v2__ingestion_20260825_event_path_v1::421,Urban,HIGH,0.5967885612893327,2.0
environment_only,Urban,F1023_V70_D0120_P7__G26__ch6__nav_sage_v2__ingestion_20260825_event_path_v1::939,Urban,HIGH,0.42885097111204595,1.0
environment_only,Urban,F1023_V70_D0120_P7__G26__ch6__nav_sage_v2__ingestion_20260825_event_path_v1::956,Urban,HIGH,0.2821564849908899,1.0
environment_only,Urban,F1023_V70_D0120_P7__G26__ch6__nav_sage_v2__ingestion_20260825_event_path_v1::957,Urban,HIGH,0.7292055596118214,0.6666666666666666
environment_only,Urban,F1023_V70_D0120_P7__G26__ch6__nav_sage_v2__ingestion_20260825_event_path_v1::958,Urban,HIGH,0.7112531885264289,0.6666666666666666
environment_only,Urban,F1023_V70_D0120_P7__G26__ch6__nav_sage_v2__ingestion_20260825_event_path_v1::959,Urban,HIGH,0.7523305612477871,0.6666666666666666
environment_only,Urban,F1023_V70_D0120_P7__G31__ch8__nav_sage_v2__ingestion_20260825_event_path_v1::73,Urban,MID,0.8929361600014152,0.75
environment_only,Urban,F1023_V70_D0120_P7__G31__ch8__nav_sage_v2__ingestion_20260825_event_path_v1::74,Urban,MID,0.9488678098001488,0.75
environment_only,Urban,F1023_V70_D0120_P7__G31__ch8__nav_sage_v2__ingestion_20260825_event_path_v1::75,Urban,MID,0.9608577885481996,0.75
environment_only,Urban,F1023_V70_D0120_P7__G31__ch8__nav_sage_v2__ingestion_20260825_event_path_v1::76,Urban,MID,0.943147826874976,0.75
environment_only,Urban,F1023_V70_D0120_P7__G31__ch8__nav_sage_v2__ingestion_20260825_event_path_v1::432,Urban,MID,0.7607482298711107,2.0
environment_only,Urban,F1023_V70_D0120_P7__G31__ch8__nav_sage_v2__ingestion_20260825_event_path_v1::957,Urban,MID,0.6452136327986583,0.6666666666666666
environment_only,Urban,F1023_V70_D0120_P7__G31__ch8__nav_sage_v2__ingestion_20260825_event_path_v1::958,Urban,MID,0.6770910140769213,0.6666666666666666
environment_only,Urban,F1023_V70_D0120_P7__G31__ch8__nav_sage_v2__ingestion_20260825_event_path_v1::959,Urban,MID,0.5955810120563881,0.6666666666666666
environment_only,Urban,F1023_V70_D0120_P7__G31__ch8__nav_sage_v2__ingestion_20260825_event_path_v1::2092,Urban,MID,1.030802132672988,0.25
environment_only,Urban,F1023_V70_D0120_P7__G31__ch8__nav_sage_v2__ingestion_20260825_event_path_v1::2093,Urban,MID,1.1543699517380375,1.25
environment_only,Urban,F1023_V70_D0120_P7__G31__ch8__nav_sage_v2__ingestion_20260825_event_path_v1::2094,Urban,MID,0.8958182401229029,0.25
environment_only,Urban,F1023_V70_D0120_P7__G31__ch8__nav_sage_v2__ingestion_20260825_event_path_v1::2095,Urban,MID,0.8412791544853992,0.25
environment_only,Urban,F1023_V70_D0120_P7__G31__ch8__nav_sage_v2__ingestion_20260825_event_path_v1::2206,Urban,MID,0.6823289279120025,1.0
environment_only,Urban,F1023_V70_D0120_P7__G31__ch8__nav_sage_v2__ingestion_20260825_event_path_v1::2207,Urban,MID,0.7371916239472927,1.0
environment_only,Urban,F1023_V70_D0120_P8__G16__ch4__nav_sage_v2__ingestion_20260825_event_path_v1::91,Urban,MID,0.5716486009675155,0.3333333333333333
environment_only,Urban,F1023_V70_D0120_P8__G16__ch4__nav_sage_v2__ingestion_20260825_event_path_v1::92,Urban,MID,0.8374122765473098,0.3333333333333333
environment_only,Urban,F1023_V70_D0120_P8__G16__ch4__nav_sage_v2__ingestion_20260825_event_path_v1::93,Urban,MID,0.587580808163717,0.3333333333333333
environment_only,Urban,F1023_V70_D0120_P8__G16__ch4__nav_sage_v2__ingestion_20260825_event_path_v1::96,Urban,MID,0.8685562207841205,0.25
environment_only,Urban,F1023_V70_D0120_P8__G16__ch4__nav_sage_v2__ingestion_20260825_event_path_v1::97,Urban,MID,0.8019480747857854,0.25
environment_only,Urban,F1023_V70_D0120_P8__G16__ch4__nav_sage_v2__ingestion_20260825_event_path_v1::98,Urban,MID,0.6215209439018623,0.25
environment_only,Urban,F1023_V70_D0120_P8__G16__ch4__nav_sage_v2__ingestion_20260825_event_path_v1::99,Urban,MID,0.5310222369011027,0.25
environment_only,Urban,F1023_V70_D0120_P8__G16__ch4__nav_sage_v2__ingestion_20260825_event_path_v1::203,Urban,MID,0.388423994474385,0.3333333333333333
environment_only,Urban,F1023_V70_D0120_P8__G16__ch4__nav_sage_v2__ingestion_20260825_event_path_v1::204,Urban,MID,0.7238039131674525,0.3333333333333333
environment_only,Urban,F1023_V70_D0120_P8__G16__ch4__nav_sage_v2__ingestion_20260825_event_path_v1::205,Urban,MID,0.5146772823677722,0.3333333333333333
environment_only,Urban,F1023_V70_D0120_P8__G16__ch4__nav_sage_v2__ingestion_20260825_event_path_v1::220,Urban,MID,0.5916428408616684,0.25
environment_only,Urban,F1023_V70_D0120_P8__G16__ch4__nav_sage_v2__ingestion_20260825_event_path_v1::221,Urban,MID,0.5281754635439586,0.25
environment_only,Urban,F1023_V70_D0120_P8__G16__ch4__nav_sage_v2__ingestion_20260825_event_path_v1::222,Urban,MID,0.5788504383801947,0.25
environment_only,Urban,F1023_V70_D0120_P8__G16__ch4__nav_sage_v2__ingestion_20260825_event_path_v1::223,Urban,MID,0.494933868262205,0.25
environment_only,Urban,F1023_V70_D0120_P8__G16__ch4__nav_sage_v2__ingestion_20260825_event_path_v1::293,Urban,MID,0.5666357307238403,0.5
environment_only,Urban,F1023_V70_D0120_P8__G16__ch4__nav_sage_v2__ingestion_20260825_event_path_v1::294,Urban,MID,0.854580745402146,0.5
environment_only,Urban,F1023_V70_D0120_P8__G16__ch4__nav_sage_v2__ingestion_20260825_event_path_v1::418,Urban,MID,0.6984105614565246,0.25
environment_only,Urban,F1023_V70_D0120_P8__G16__ch4__nav_sage_v2__ingestion_20260825_event_path_v1::419,Urban,MID,0.5937528218759364,0.25
environment_only,Urban,F1023_V70_D0120_P8__G16__ch4__nav_sage_v2__ingestion_20260825_event_path_v1::420,Urban,MID,0.6441936858848774,0.25
environment_only,Urban,F1023_V70_D0120_P8__G16__ch4__nav_sage_v2__ingestion_20260825_event_path_v1::421,Urban,MID,0.835970303285104,0.25
environment_only,Urban,F1023_V70_D0120_P8__G16__ch4__nav_sage_v2__ingestion_20260825_event_path_v1::522,Urban,MID,0.6441630410093226,0.3333333333333333
environment_only,Urban,F1023_V70_D0120_P8__G16__ch4__nav_sage_v2__ingestion_20260825_event_path_v1::523,Urban,MID,0.7467845517691617,0.3333333333333333
